20;Zamora-Chinchipe;Zamora-Chinchipe;America/Guayaquil
19;Tungurahua;Tungurahua;America/Guayaquil
18;Pichincha;Pichincha;America/Guayaquil
17;Pastaza;Pastaza;America/Guayaquil
23;Napo;Napo;America/Guayaquil
15;Morona-Santiago;Morona-Santiago;America/Guayaquil
14;Manabí;Manabi;America/Guayaquil
13;Los Ríos;Los Rios;America/Guayaquil
12;Loja;Loja;America/Guayaquil
11;Imbabura;Imbabura;America/Guayaquil
10;Guayas;Guayas;America/Guayaquil
01;Galápagos;Galapagos;America/Guayaquil
09;Esmeraldas;Esmeraldas;America/Guayaquil
08;El Oro;El Oro;America/Guayaquil
07;Cotopaxi;Cotopaxi;America/Guayaquil
06;Chimborazo;Chimborazo;America/Guayaquil
05;Carchi;Carchi;America/Guayaquil
04;Cañar;Canar;America/Guayaquil
03;Bolívar;Bolivar;America/Guayaquil
02;Azuay;Azuay;America/Guayaquil
22;Sucumbios;Sucumbios;America/Guayaquil
24;Orellana;Orellana;America/Guayaquil
26;Santo Domingo de los Tsáchilas;Santo Domingo de los Tsachilas;America/Guayaquil
25;Santa Elena;Santa Elena;America/Guayaquil