17;San Pedro;San Pedro;America/Asuncion
16;Presidente Hayes;Presidente Hayes;America/Asuncion
15;Paraguarí;Paraguari;America/Asuncion
13;Ñeembucú;Neembucu;America/Asuncion
12;Misiones;Misiones;America/Asuncion
11;Itapúa;Itapua;America/Asuncion
10;Guairá;Guaira;America/Asuncion
08;Cordillera;Cordillera;America/Asuncion
07;Concepción;Concepcion;America/Asuncion
06;Central;Central;America/Asuncion
19;Canindeyú;Canindeyu;America/Asuncion
05;Caazapá;Caazapa;America/Asuncion
04;Caaguazú;Caaguazu;America/Asuncion
02;Amambay;Amambay;America/Asuncion
01;Alto Paraná;Alto Parana;America/Asuncion
23;Alto Paraguay;Alto Paraguay;America/Asuncion
22;Asunción;Asuncion;America/Asuncion
24;Boquerón;Boqueron;America/Asuncion