19;Treinta y Tres;Treinta y Tres;America/Montevideo
18;Tacuarembó;Tacuarembo;America/Montevideo
17;Soriano;Soriano;America/Montevideo
16;San José;San Jose;America/Montevideo
15;Salto;Salto;America/Montevideo
14;Rocha;Rocha;America/Montevideo
13;Rivera;Rivera;America/Montevideo
12;Río Negro;Rio Negro;America/Montevideo
11;Paysandú;Paysandu;America/Montevideo
10;Montevideo;Montevideo;America/Montevideo
09;Maldonado;Maldonado;America/Montevideo
08;Lavalleja;Lavalleja;America/Montevideo
07;Florida;Florida;America/Montevideo
06;Flores;Flores;America/Montevideo
05;Durazno;Durazno;America/Montevideo
04;Colonia;Colonia;America/Montevideo
03;Cerro Largo;Cerro Largo;America/Montevideo
02;Canelones;Canelones;America/Montevideo
01;Artigas;Artigas;America/Montevideo