23;Zulia;Zulia;America/Caracas
22;Yaracuy;Yaracuy;America/Caracas
21;Trujillo;Trujillo;America/Caracas
20;Táchira;Tachira;America/Caracas
19;Sucre;Sucre;America/Caracas
18;Portuguesa;Portuguesa;America/Caracas
17;Nueva Esparta;Nueva Esparta;America/Caracas
16;Monagas;Monagas;America/Caracas
15;Miranda;Miranda;America/Caracas
14;Mérida;Merida;America/Caracas
13;Lara;Lara;America/Caracas
12;Guárico;Guarico;America/Caracas
24;Dependencias Federales;Dependencias Federales;America/Caracas
25;Capital;Capital;America/Caracas
11;Falcón;Falcon;America/Caracas
09;Delta Amacuro;Delta Amacuro;America/Caracas
08;Cojedes;Cojedes;America/Caracas
07;Carabobo;Carabobo;America/Caracas
06;Bolívar;Bolivar;America/Caracas
05;Barinas;Barinas;America/Caracas
04;Aragua;Aragua;America/Caracas
03;Apure;Apure;America/Caracas
02;Anzoátegui;Anzoategui;America/Caracas
01;Amazonas;Amazonas;America/Caracas
26;Vargas;Vargas;America/Caracas